BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=5 | Total=9
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=5 | Total=9
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=5 | Total=9
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=5 | Total=9
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=5 | Total=9
BORROWING | Depth=4 | Own=5 | Borrowed=5 | Total=10
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=5 | Borrowed=5 | Total=10
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=6 | Borrowed=5 | Total=11
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=6 | Borrowed=5 | Total=11
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=6 | Borrowed=5 | Total=11
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=7 | Borrowed=5 | Total=12
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=7 | Borrowed=5 | Total=12
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=5 | Total=13
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=5 | Total=13
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=5 | Total=13
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=5 | Total=13
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=5 | Total=13
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=9 | Borrowed=5 | Total=14
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=5 | Total=14
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=5 | Total=14
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=9 | Borrowed=5 | Total=14
BORROWING | Depth=4 | Own=6 | Borrowed=6 | Total=12
BORROWING | Depth=4 | Own=7 | Borrowed=6 | Total=13
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=9 | Borrowed=5 | Total=14
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=9 | Borrowed=5 | Total=14
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=6 | Total=14
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=1 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=1 | Own=7 | Borrowed=7 | Total=14
BORROWING | Depth=1 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=1 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=1 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=1 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=1 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=1 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=1 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=1 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=1 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=7 | Borrowed=7 | Total=14
BORROWING | Depth=1 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=7 | Borrowed=7 | Total=14
BORROWING | Depth=2 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=2 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=2 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=2 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=2 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=2 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=2 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=3 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=2 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=2 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=2 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=2 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=6 | Borrowed=4 | Total=10
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=4 | Total=11
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=2 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=2 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=2 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=4 | Total=12
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=4 | Total=13
BORROWING | Depth=3 | Own=9 | Borrowed=4 | Total=13
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=4 | Total=13
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=10 | Borrowed=4 | Total=14
BORROWING | Depth=3 | Own=10 | Borrowed=4 | Total=14
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=11 | Borrowed=4 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=7 | Total=14
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=3 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=3 | Own=7 | Borrowed=7 | Total=14
BORROWING | Depth=3 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=12 | Borrowed=3 | Total=15
BORROWING | Depth=4 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=13 | Borrowed=2 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=14 | Borrowed=1 | Total=15
BORROWING | Depth=4 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=8 | Borrowed=7 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=9 | Borrowed=6 | Total=15
BORROWING | Depth=4 | Own=4 | Borrowed=4 | Total=8
BORROWING | Depth=4 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=4 | Own=5 | Borrowed=4 | Total=9
BORROWING | Depth=4 | Own=10 | Borrowed=5 | Total=15
BORROWING | Depth=3 | Own=10 | Borrowed=5 | Total=15
